time T_d d2 
0.0 315.0 4.0 
0.094453 323.95754 3.992081 
0.188906 332.626117 3.979943 
0.28336 340.951758 3.962111 
0.377813 348.875506 3.936967 
0.472266 356.338075 3.902882 
0.566719 363.284688 3.858353 
0.661173 369.668853 3.802131 
0.755626 375.454406 3.733296 
0.850079 380.616031 3.651298 
0.944532 385.13908 3.55596 
1.038985 389.019721 3.447485 
1.038986 389.019714 3.447485 
1.133439 392.266087 3.326458 
1.227892 394.90057 3.193849 
1.322345 396.962492 3.051005 
1.416798 398.50953 2.899589 
1.511252 399.615935 2.741468 
1.605705 400.366494 2.578539 
1.700158 400.847433 2.41255 
1.794611 401.137273 2.24497 
1.889064 401.3006 2.076941 
1.983518 401.385877 1.909306 
2.077971 401.426533 1.742683 
2.172424 401.443821 1.577548 
2.266877 401.450131 1.414315 
2.266878 401.450165 1.414316 
2.361331 401.451976 1.25341 
2.455784 401.452352 1.095323 
2.550237 401.452386 0.940674 
2.550238 401.452454 0.940675 
2.644691 401.452384 0.790276 
2.739144 401.452385 0.645234 
2.833597 401.452385 0.507074 
2.833598 401.452393 0.507075 
2.928051 401.452385 0.37795 
3.022504 401.452384 0.260929 
3.116957 401.452385 0.160305 
3.116958 401.452209 0.160306 
3.211411 401.452382 0.081621 
3.305864 401.452404 0.030206 
