time T_d d2 
0.0 281.0 3.0976 
0.094547 281.7541 3.061033 
0.189093 282.39861 3.023192 
0.189094 282.39859 3.02319 
0.28364 282.946206 2.984235 
0.378187 283.408838 2.944312 
0.472734 283.79758 2.90356 
0.567281 284.122538 2.862103 
0.661827 284.392817 2.820052 
0.756374 284.616525 2.777504 
0.850921 284.800808 2.734544 
0.945467 284.951905 2.691245 
1.040014 285.07522 2.647669 
1.134561 285.175399 2.603871 
1.229108 285.256408 2.559894 
1.323655 285.321611 2.515776 
1.418201 285.373846 2.471548 
1.512748 285.415492 2.427235 
1.607295 285.448532 2.38286 
1.701842 285.474613 2.338439 
1.796389 285.495094 2.293987 
1.890935 285.511092 2.249515 
1.985482 285.523519 2.205033 
2.080029 285.533116 2.16055 
2.174576 285.540483 2.11607 
2.269122 285.546104 2.071601 
2.363669 285.550364 2.027145 
2.458216 285.55357 1.982707 
2.552763 285.555966 1.93829 
2.64731 285.557744 1.893897 
2.741856 285.559051 1.84953 
2.836403 285.560006 1.805192 
2.93095 285.560696 1.760884 
3.025497 285.561191 1.716609 
3.120044 285.561542 1.672369 
3.21459 285.561788 1.628165 
3.309137 285.561959 1.584001 
3.403684 285.562077 1.539877 
3.498231 285.562157 1.495797 
3.592778 285.56221 1.451764 
3.687324 285.562245 1.407779 
3.781871 285.562268 1.363845 
3.876418 285.562282 1.319967 
3.970965 285.562291 1.276147 
4.065511 285.562297 1.232388 
4.160058 285.5623 1.188696 
4.254605 285.562302 1.145075 
4.349152 285.562303 1.101529 
4.443699 285.562304 1.058064 
4.538245 285.562304 1.014686 
4.632792 285.562304 0.971403 
4.727339 285.562304 0.928221 
4.821886 285.562304 0.88515 
4.916433 285.562304 0.842199 
5.010979 285.562305 0.79938 
5.105526 285.562305 0.756705 
5.200073 285.562305 0.714188 
5.29462 285.562305 0.671846 
5.389167 285.562305 0.629699 
5.483713 285.562305 0.58777 
5.57826 285.562305 0.546086 
5.672807 285.562305 0.504678 
5.767354 285.562305 0.463586 
5.861901 285.562305 0.422856 
5.956447 285.562305 0.382545 
6.050994 285.562305 0.342727 
6.145541 285.562305 0.30349 
6.240088 285.562305 0.264952 
6.334635 285.562305 0.227264 
6.429181 285.562305 0.190629 
6.523728 285.562305 0.15532 
6.618275 285.562305 0.121719 
6.712822 285.562305 0.090363 
6.807369 285.562305 0.062017 
6.901915 285.562305 0.037751 
6.996462 285.562305 0.018929 
