time T_d d2 
0.0 282.0 1.1 
0.050811 282.002547 1.099933 
0.101623 282.005076 1.099865 
0.152434 282.007587 1.099798 
0.203246 282.01008 1.09973 
0.254057 282.012555 1.099663 
0.304868 282.015013 1.099596 
0.35568 282.017453 1.099528 
0.406491 282.019876 1.099461 
0.457302 282.022282 1.099393 
0.508114 282.02467 1.099326 
0.558925 282.027042 1.099258 
0.609737 282.029397 1.099191 
0.660548 282.031735 1.099123 
0.711359 282.034056 1.099056 
0.762171 282.036361 1.098988 
0.812982 282.038649 1.098921 
0.863794 282.040921 1.098853 
0.914605 282.043177 1.098785 
0.965416 282.045417 1.098718 
1.016228 282.04764 1.09865 
1.067039 282.049848 1.098583 
1.117851 282.052041 1.098515 
1.168662 282.054217 1.098447 
1.219474 282.056378 1.09838 
1.270285 282.058524 1.098312 
1.321096 282.060655 1.098245 
1.371908 282.06277 1.098177 
1.422719 282.06487 1.098109 
1.473531 282.066955 1.098042 
1.524342 282.069025 1.097974 
1.575153 282.071081 1.097906 
1.625965 282.073122 1.097838 
1.676776 282.075148 1.097771 
1.727588 282.07716 1.097703 
1.778399 282.079157 1.097635 
1.82921 282.08114 1.097568 
1.880022 282.083109 1.0975 
1.930833 282.085064 1.097432 
1.981645 282.087005 1.097364 
2.032456 282.088932 1.097297 
2.083267 282.090846 1.097229 
2.134079 282.092745 1.097161 
2.18489 282.094631 1.097093 
2.235701 282.096504 1.097025 
2.286512 282.098363 1.096958 
2.337324 282.100209 1.09689 
2.388135 282.102042 1.096822 
2.438946 282.103862 1.096754 
2.489758 282.105668 1.096686 
2.540569 282.107462 1.096618 
2.59138 282.109243 1.09655 
2.642192 282.111011 1.096483 
2.693003 282.112767 1.096415 
2.743814 282.11451 1.096347 
2.794625 282.11624 1.096279 
2.845437 282.117958 1.096211 
2.896248 282.119664 1.096143 
2.947059 282.121358 1.096075 
2.997871 282.123039 1.096007 
3.048682 282.124709 1.095939 
3.099493 282.126366 1.095871 
3.150304 282.128012 1.095803 
3.201116 282.129646 1.095735 
3.251927 282.131268 1.095667 
3.302738 282.132878 1.095599 
3.35355 282.134477 1.095531 
3.404361 282.136065 1.095463 
3.455172 282.137641 1.095395 
3.505983 282.139206 1.095327 
3.556795 282.140759 1.095259 
3.607606 282.142302 1.095191 
3.658417 282.143833 1.095123 
3.709229 282.145354 1.095055 
3.76004 282.146863 1.094987 
3.810851 282.148362 1.094919 
3.861663 282.14985 1.094851 
3.912474 282.151327 1.094783 
3.963285 282.152794 1.094715 
4.014096 282.15425 1.094647 
4.064908 282.155696 1.094579 
4.115719 282.157131 1.094511 
4.16653 282.158556 1.094443 
4.217342 282.159971 1.094375 
4.268153 282.161376 1.094306 
4.318964 282.16277 1.094238 
4.369776 282.164155 1.09417 
4.420587 282.16553 1.094102 
4.471398 282.166894 1.094034 
4.522209 282.168249 1.093966 
4.573021 282.169594 1.093898 
4.623832 282.17093 1.09383 
4.674643 282.172256 1.093761 
4.725455 282.173572 1.093693 
4.776266 282.174879 1.093625 
4.827077 282.176177 1.093557 
4.877888 282.177465 1.093489 
4.9287 282.178744 1.09342 
4.979511 282.180014 1.093352 
5.030322 282.181275 1.093284 
5.081134 282.182526 1.093216 
5.131945 282.183769 1.093148 
5.182756 282.185003 1.093079 
5.233567 282.186227 1.093011 
5.284379 282.187443 1.092943 
5.33519 282.188651 1.092875 
5.386001 282.189849 1.092806 
5.436813 282.191039 1.092738 
5.487624 282.192221 1.09267 
5.538435 282.193393 1.092602 
5.589247 282.194558 1.092533 
5.640058 282.195714 1.092465 
5.690869 282.196862 1.092397 
5.74168 282.198001 1.092329 
5.792492 282.199132 1.09226 
5.843303 282.200255 1.092192 
5.894114 282.201371 1.092124 
5.944926 282.202478 1.092055 
5.995737 282.203577 1.091987 
6.046548 282.204668 1.091919 
6.097359 282.205751 1.091851 
6.148171 282.206826 1.091782 
6.198982 282.207894 1.091714 
6.249793 282.208954 1.091646 
6.300605 282.210006 1.091577 
6.351416 282.211051 1.091509 
6.402227 282.212088 1.091441 
6.453038 282.213118 1.091372 
6.50385 282.21414 1.091304 
6.554661 282.215155 1.091235 
6.605472 282.216163 1.091167 
6.656284 282.217163 1.091099 
6.707095 282.218157 1.09103 
6.757906 282.219143 1.090962 
6.808718 282.220122 1.090894 
6.859529 282.221093 1.090825 
6.91034 282.222058 1.090757 
6.961151 282.223016 1.090688 
7.011963 282.223967 1.09062 
7.062774 282.224911 1.090552 
7.113585 282.225848 1.090483 
7.164397 282.226779 1.090415 
7.215208 282.227703 1.090346 
7.266019 282.22862 1.090278 
7.31683 282.22953 1.09021 
7.367642 282.230434 1.090141 
7.418453 282.231331 1.090073 
7.469264 282.232222 1.090004 
7.520076 282.233107 1.089936 
7.570887 282.233985 1.089867 
7.621698 282.234857 1.089799 
7.672509 282.235722 1.08973 
7.723321 282.236581 1.089662 
7.774132 282.237434 1.089593 
7.824943 282.238281 1.089525 
7.875755 282.239122 1.089457 
7.926566 282.239956 1.089388 
7.977377 282.240785 1.08932 
8.028189 282.241608 1.089251 
8.079001 282.242424 1.089183 
8.129812 282.243235 1.089114 
8.180624 282.24404 1.089046 
8.231436 282.244839 1.088977 
8.282248 282.245632 1.088909 
8.33306 282.24642 1.08884 
8.383871 282.247202 1.088772 
8.434683 282.247978 1.088703 
8.485495 282.248748 1.088635 
8.536306 282.249513 1.088566 
8.587118 282.250273 1.088498 
8.63793 282.251027 1.088429 
8.688742 282.251775 1.08836 
8.739553 282.252518 1.088292 
8.790365 282.253256 1.088223 
8.841177 282.253988 1.088155 
8.891989 282.254715 1.088086 
8.942801 282.255437 1.088018 
8.993612 282.256154 1.087949 
9.044424 282.256865 1.087881 
9.095236 282.257571 1.087812 
9.146048 282.258273 1.087744 
9.196859 282.258969 1.087675 
9.247671 282.25966 1.087606 
9.298483 282.260346 1.087538 
9.349295 282.261027 1.087469 
9.400106 282.261703 1.087401 
9.450918 282.262374 1.087332 
9.50173 282.26304 1.087264 
9.552542 282.263702 1.087195 
9.603354 282.264358 1.087126 
9.654165 282.26501 1.087058 
9.704977 282.265658 1.086989 
9.755789 282.2663 1.086921 
9.806601 282.266938 1.086852 
9.857412 282.267571 1.086783 
9.908224 282.2682 1.086715 
9.959036 282.268824 1.086646 
10.009848 282.269443 1.086578 
10.060659 282.270058 1.086509 
10.111471 282.270669 1.08644 
10.162283 282.271275 1.086372 
10.213095 282.271877 1.086303 
10.263906 282.272474 1.086234 
10.314718 282.273067 1.086166 
10.36553 282.273656 1.086097 
10.416342 282.274241 1.086029 
10.467154 282.274821 1.08596 
10.517965 282.275397 1.085891 
10.568777 282.275969 1.085823 
10.619589 282.276537 1.085754 
10.670401 282.2771 1.085685 
10.721212 282.27766 1.085617 
10.772024 282.278215 1.085548 
10.822836 282.278766 1.085479 
10.873648 282.279314 1.085411 
10.924459 282.279857 1.085342 
10.975271 282.280397 1.085273 
11.026083 282.280932 1.085205 
11.076895 282.281464 1.085136 
11.127707 282.281992 1.085067 
11.178518 282.282516 1.084999 
11.22933 282.283036 1.08493 
11.280142 282.283552 1.084861 
11.330954 282.284065 1.084793 
11.381765 282.284574 1.084724 
11.432577 282.285079 1.084655 
11.483389 282.28558 1.084587 
11.534201 282.286078 1.084518 
11.585012 282.286572 1.084449 
11.635824 282.287063 1.084381 
11.686636 282.28755 1.084312 
11.737448 282.288034 1.084243 
11.78826 282.288514 1.084174 
11.839071 282.28899 1.084106 
11.889883 282.289463 1.084037 
11.940695 282.289933 1.083968 
11.991507 282.290399 1.0839 
12.042318 282.290862 1.083831 
12.09313 282.291321 1.083762 
12.143942 282.291777 1.083693 
12.194754 282.29223 1.083625 
12.245565 282.29268 1.083556 
12.296377 282.293126 1.083487 
12.347189 282.293569 1.083419 
12.398001 282.294009 1.08335 
12.448812 282.294445 1.083281 
12.499624 282.294879 1.083212 
12.550436 282.295309 1.083144 
12.601248 282.295736 1.083075 
12.65206 282.29616 1.083006 
12.702871 282.296581 1.082937 
12.753683 282.296998 1.082869 
12.804495 282.297413 1.0828 
12.855307 282.297825 1.082731 
12.906118 282.298234 1.082662 
12.95693 282.298639 1.082594 
13.007742 282.299042 1.082525 
13.058554 282.299442 1.082456 
13.109365 282.299839 1.082387 
13.160177 282.300233 1.082319 
13.210989 282.300624 1.08225 
13.261801 282.301013 1.082181 
13.312613 282.301398 1.082112 
13.363424 282.301781 1.082044 
13.414236 282.302161 1.081975 
13.465048 282.302538 1.081906 
13.51586 282.302912 1.081837 
13.566671 282.303284 1.081769 
13.617483 282.303653 1.0817 
13.668295 282.304019 1.081631 
13.719107 282.304383 1.081562 
13.769918 282.304744 1.081493 
13.82073 282.305102 1.081425 
13.871542 282.305458 1.081356 
13.922354 282.305811 1.081287 
13.973166 282.306161 1.081218 
14.023977 282.306509 1.08115 
14.074789 282.306855 1.081081 
14.125601 282.307197 1.081012 
14.176413 282.307538 1.080943 
14.227224 282.307876 1.080874 
14.278036 282.308211 1.080806 
14.328848 282.308544 1.080737 
14.37966 282.308875 1.080668 
14.430471 282.309203 1.080599 
14.481283 282.309529 1.08053 
14.532095 282.309852 1.080462 
14.582907 282.310173 1.080393 
14.633718 282.310492 1.080324 
14.68453 282.310808 1.080255 
14.735342 282.311122 1.080186 
14.786154 282.311434 1.080118 
14.836966 282.311743 1.080049 
14.887777 282.31205 1.07998 
14.938589 282.312355 1.079911 
14.989401 282.312658 1.079842 
15.040213 282.312958 1.079774 
15.091024 282.313257 1.079705 
15.141836 282.313553 1.079636 
15.192648 282.313847 1.079567 
15.24346 282.314139 1.079498 
15.294271 282.314428 1.079429 
15.345083 282.314716 1.079361 
15.395895 282.315001 1.079292 
15.446707 282.315285 1.079223 
15.497519 282.315566 1.079154 
15.54833 282.315845 1.079085 
15.599142 282.316122 1.079016 
15.649954 282.316398 1.078948 
15.700766 282.316671 1.078879 
15.751577 282.316942 1.07881 
15.802389 282.317211 1.078741 
15.853201 282.317478 1.078672 
15.904013 282.317743 1.078603 
15.954824 282.318007 1.078535 
16.005636 282.318268 1.078466 
16.056448 282.318528 1.078397 
16.10726 282.318785 1.078328 
16.158072 282.319041 1.078259 
16.208883 282.319295 1.07819 
16.259695 282.319547 1.078122 
16.310507 282.319797 1.078053 
16.361319 282.320045 1.077984 
16.41213 282.320291 1.077915 
16.462942 282.320536 1.077846 
16.513754 282.320779 1.077777 
16.564566 282.32102 1.077708 
16.615377 282.321259 1.07764 
16.666189 282.321497 1.077571 
16.717001 282.321733 1.077502 
16.767813 282.321967 1.077433 
16.818624 282.322199 1.077364 
16.869436 282.32243 1.077295 
16.920248 282.322659 1.077226 
16.97106 282.322886 1.077158 
17.021872 282.323112 1.077089 
17.072684 282.323336 1.07702 
17.123496 282.323558 1.076951 
17.174306 282.323779 1.076882 
17.225118 282.323998 1.076813 
17.27593 282.324215 1.076744 
17.326742 282.324431 1.076676 
17.377554 282.324646 1.076607 
17.428366 282.324858 1.076538 
17.479178 282.325069 1.076469 
17.52999 282.325279 1.0764 
17.580802 282.325487 1.076331 
17.631612 282.325694 1.076262 
17.682424 282.325899 1.076193 
17.733236 282.326102 1.076125 
17.784048 282.326304 1.076056 
17.83486 282.326505 1.075987 
17.885672 282.326704 1.075918 
17.936484 282.326902 1.075849 
17.987296 282.327098 1.07578 
18.038106 282.327293 1.075711 
18.088918 282.327486 1.075642 
18.13973 282.327678 1.075573 
18.190542 282.327868 1.075505 
18.241354 282.328057 1.075436 
18.292166 282.328245 1.075367 
18.342978 282.328431 1.075298 
